DFT Energy (eV), CHGNet Energy (eV)
-5.394937389523809,-5.394937389523809
-5.394935088333334,-5.394935088333334
-5.394988288571429,-5.394988288571429
-5.395001251666667,-5.395001251666667
-5.3948637859523805,-5.3948637859523805
-5.3945905580952385,-5.3945905580952385
-5.394411223333334,-5.394411223333334
-5.394207359047619,-5.394207359047619
-5.3940800216666664,-5.3940800216666664
-5.394063240238095,-5.394063240238095
-5.394167788095238,-5.394167788095238
-5.3942455364285715,-5.3942455364285715
-5.39432214452381,-5.39432214452381
-5.3944262840476185,-5.3944262840476185
-5.394533080952381,-5.394533080952381
-5.394615479523809,-5.394615479523809
-5.394449025238096,-5.394449025238096
-5.394457618571429,-5.394457618571429
-5.394454758809523,-5.394454758809523
-5.394562868095238,-5.394562868095238
-5.394641135238095,-5.394641135238095
-5.394731718333333,-5.394731718333333
-5.394770165714286,-5.394770165714286
-5.394785706428571,-5.394785706428571
-5.394778625,-5.394778625
